"","nrows","train_accuracy","cv_accuracy"
"1",25,0.92,0.729323308270677
"2",50,0.88,0.676691729323308
"3",75,0.88,0.556390977443609
"4",100,0.89,0.578947368421053
"5",125,0.912,0.710526315789474
"6",150,0.9,0.759398496240602
"7",175,0.891428571428571,0.774436090225564
"8",200,0.905,0.75187969924812
"9",225,0.911111111111111,0.785714285714286
"10",250,0.904,0.785714285714286
"11",275,0.909090909090909,0.793233082706767
"12",300,0.903333333333333,0.781954887218045
"13",325,0.923076923076923,0.793233082706767
"14",350,0.897142857142857,0.781954887218045
"15",375,0.893333333333333,0.808270676691729
"16",400,0.905,0.785714285714286
"17",425,0.891764705882353,0.781954887218045
"18",450,0.902222222222222,0.800751879699248
"19",475,0.888421052631579,0.796992481203007
"20",500,0.902,0.789473684210526
"21",525,0.893333333333333,0.781954887218045
"22",550,0.909090909090909,0.796992481203007
"23",575,0.909565217391304,0.781954887218045
"24",600,0.903333333333333,0.789473684210526
"25",625,0.9008,0.808270676691729
