"","nrows","train_accuracy","cv_accuracy"
"1",25,0.92,0.721804511278195
"2",50,0.88,0.721804511278195
"3",75,0.893333333333333,0.56015037593985
"4",100,0.87,0.541353383458647
"5",125,0.92,0.721804511278195
"6",150,0.906666666666667,0.759398496240602
"7",175,0.925714285714286,0.778195488721805
"8",200,0.91,0.740601503759398
"9",225,0.915555555555556,0.763157894736842
"10",250,0.9,0.766917293233083
"11",275,0.916363636363636,0.789473684210526
"12",300,0.906666666666667,0.796992481203007
"13",325,0.892307692307692,0.800751879699248
"14",350,0.905714285714286,0.796992481203007
"15",375,0.914666666666667,0.778195488721805
"16",400,0.8925,0.785714285714286
"17",425,0.889411764705882,0.804511278195489
"18",450,0.9,0.793233082706767
"19",475,0.890526315789474,0.800751879699248
"20",500,0.89,0.81203007518797
"21",525,0.895238095238095,0.796992481203007
"22",550,0.898181818181818,0.804511278195489
"23",575,0.902608695652174,0.796992481203007
"24",600,0.906666666666667,0.800751879699248
"25",625,0.896,0.796992481203007
