"","nrows","train_accuracy","cv_accuracy"
"1",25,0.92,0.740601503759398
"2",50,0.86,0.759398496240602
"3",75,0.893333333333333,0.552631578947368
"4",100,0.88,0.601503759398496
"5",125,0.912,0.744360902255639
"6",150,0.906666666666667,0.729323308270677
"7",175,0.92,0.763157894736842
"8",200,0.915,0.733082706766917
"9",225,0.893333333333333,0.770676691729323
"10",250,0.912,0.785714285714286
"11",275,0.912727272727273,0.781954887218045
"12",300,0.896666666666667,0.774436090225564
"13",325,0.907692307692308,0.781954887218045
"14",350,0.888571428571429,0.796992481203007
"15",375,0.906666666666667,0.815789473684211
"16",400,0.89,0.778195488721805
"17",425,0.887058823529412,0.781954887218045
"18",450,0.888888888888889,0.804511278195489
"19",475,0.892631578947368,0.800751879699248
"20",500,0.888,0.793233082706767
"21",525,0.897142857142857,0.793233082706767
"22",550,0.892727272727273,0.781954887218045
"23",575,0.890434782608696,0.785714285714286
"24",600,0.901666666666667,0.830827067669173
"25",625,0.8864,0.830827067669173
