"","nrows","train_error","cv_error"
"1",2,0,0.616541353383459
"2",12,0,0.364661654135338
"3",22,0,0.582706766917293
"4",32,0,0.533834586466165
"5",42,0,0.345864661654135
"6",52,0,0.541353383458647
"7",62,0,0.511278195488722
"8",72,0.0138888888888888,0.263157894736842
"9",82,0,0.345864661654135
"10",92,0,0.473684210526316
"11",102,0,0.345864661654135
"12",112,0.0178571428571429,0.233082706766917
"13",122,0.0163934426229508,0.240601503759398
"14",132,0.0151515151515151,0.199248120300752
"15",142,0.0140845070422535,0.210526315789474
"16",152,0.0131578947368421,0.281954887218045
"17",162,0.0185185185185185,0.278195488721805
"18",172,0.0174418604651163,0.236842105263158
"19",182,0.0109890109890109,0.266917293233083
"20",192,0.0260416666666666,0.214285714285714
"21",202,0.0396039603960396,0.24812030075188
"22",212,0.0283018867924528,0.214285714285714
"23",222,0.027027027027027,0.266917293233083
"24",232,0.0344827586206896,0.221804511278195
"25",242,0.0661157024793388,0.199248120300752
"26",252,0.0595238095238095,0.225563909774436
"27",262,0.0687022900763359,0.259398496240602
"28",272,0.0477941176470589,0.24812030075188
"29",282,0.0709219858156028,0.221804511278195
"30",292,0.0753424657534246,0.199248120300752
"31",302,0.0562913907284768,0.255639097744361
"32",312,0.0737179487179487,0.203007518796993
"33",322,0.0527950310559007,0.289473684210526
"34",332,0.0421686746987951,0.259398496240602
"35",342,0.0263157894736842,0.244360902255639
"36",352,0.0482954545454546,0.180451127819549
"37",362,0.0441988950276243,0.218045112781955
"38",372,0.0698924731182796,0.236842105263158
"39",382,0.0418848167539267,0.24812030075188
"40",392,0.0459183673469388,0.225563909774436
"41",402,0.0746268656716418,0.24812030075188
"42",412,0.0558252427184466,0.244360902255639
"43",422,0.0616113744075829,0.244360902255639
"44",432,0.0810185185185185,0.214285714285714
"45",442,0.0769230769230769,0.214285714285714
"46",452,0.0530973451327433,0.233082706766917
"47",462,0.0692640692640693,0.221804511278195
"48",472,0.0826271186440678,0.203007518796993
"49",482,0.0850622406639004,0.203007518796993
"50",492,0.0873983739837398,0.225563909774436
"51",502,0.0756972111553785,0.191729323308271
"52",512,0.08203125,0.180451127819549
"53",522,0.103448275862069,0.180451127819549
"54",532,0.0714285714285714,0.199248120300752
"55",542,0.0608856088560885,0.236842105263158
"56",552,0.0797101449275363,0.206766917293233
"57",562,0.0747330960854092,0.191729323308271
"58",572,0.0716783216783217,0.203007518796993
"59",582,0.0738831615120275,0.233082706766917
"60",592,0.0658783783783784,0.191729323308271
"61",602,0.0647840531561462,0.180451127819549
"62",612,0.0751633986928104,0.203007518796993
"63",622,0.0691318327974276,0.191729323308271
