"","nrows","train_error","cv_error"
"1",2,0,0.616541353383459
"2",12,0,0.43984962406015
"3",22,0.0454545454545454,0.593984962406015
"4",32,0.0625,0.56015037593985
"5",42,0.0238095238095238,0.597744360902256
"6",52,0.115384615384615,0.530075187969925
"7",62,0.0806451612903226,0.507518796992481
"8",72,0.111111111111111,0.327067669172932
"9",82,0.0365853658536586,0.383458646616541
"10",92,0.0760869565217391,0.360902255639098
"11",102,0.127450980392157,0.466165413533835
"12",112,0.116071428571429,0.473684210526316
"13",122,0.10655737704918,0.379699248120301
"14",132,0.0833333333333334,0.24812030075188
"15",142,0.0915492957746479,0.398496240601504
"16",152,0.125,0.462406015037594
"17",162,0.0987654320987654,0.210526315789474
"18",172,0.0755813953488372,0.24812030075188
"19",182,0.10989010989011,0.214285714285714
"20",192,0.114583333333333,0.24812030075188
"21",202,0.138613861386139,0.195488721804511
"22",212,0.136792452830189,0.259398496240602
"23",222,0.117117117117117,0.218045112781955
"24",232,0.125,0.25187969924812
"25",242,0.144628099173554,0.157894736842105
"26",252,0.119047619047619,0.157894736842105
"27",262,0.133587786259542,0.199248120300752
"28",272,0.117647058823529,0.180451127819549
"29",282,0.141843971631206,0.206766917293233
"30",292,0.126712328767123,0.18796992481203
"31",302,0.112582781456954,0.191729323308271
"32",312,0.125,0.191729323308271
"33",322,0.105590062111801,0.180451127819549
"34",332,0.126506024096386,0.176691729323308
"35",342,0.119883040935672,0.195488721804511
"36",352,0.107954545454545,0.210526315789474
"37",362,0.124309392265193,0.206766917293233
"38",372,0.120967741935484,0.195488721804511
"39",382,0.130890052356021,0.18796992481203
"40",392,0.135204081632653,0.184210526315789
"41",402,0.134328358208955,0.172932330827068
"42",412,0.148058252427185,0.191729323308271
"43",422,0.127962085308057,0.210526315789474
"44",432,0.136574074074074,0.180451127819549
"45",442,0.133484162895928,0.184210526315789
"46",452,0.121681415929204,0.191729323308271
"47",462,0.136363636363636,0.191729323308271
"48",472,0.141949152542373,0.203007518796993
"49",482,0.12448132780083,0.172932330827068
"50",492,0.150406504065041,0.180451127819549
"51",502,0.125498007968127,0.195488721804511
"52",512,0.12109375,0.157894736842105
"53",522,0.126436781609195,0.165413533834586
"54",532,0.12406015037594,0.172932330827068
"55",542,0.134686346863469,0.172932330827068
"56",552,0.13768115942029,0.180451127819549
"57",562,0.140569395017794,0.180451127819549
"58",572,0.122377622377622,0.172932330827068
"59",582,0.116838487972509,0.176691729323308
"60",592,0.140202702702703,0.180451127819549
"61",602,0.134551495016611,0.157894736842105
"62",612,0.13562091503268,0.165413533834586
"63",622,0.147909967845659,0.165413533834586
